score_diff,minutes_remaining,home_won
17,11.68333333333333,1
19,11.68333333333333,1
20,11.333333333333336,1
20,10.850000000000001,1
20,10.56666666666667,1
22,9.850000000000001,1
19,9.399999999999999,1
19,9.399999999999999,1
19,9.266666666666666,1
19,9.116666666666667,1
17,8.600000000000001,1
15,8.299999999999997,1
15,8.233333333333334,1
17,8.016666666666666,1
14,7.5,1
14,7.183333333333337,1
14,7.183333333333337,1
11,6.799999999999997,1
11,6.799999999999997,1
11,6.799999999999997,1
11,6.5,1
11,6.333333333333336,1
13,5.866666666666667,1
14,5.649999999999999,1
15,5.333333333333336,1
16,5.316666666666663,1
16,5.200000000000003,1
18,5.200000000000003,1
18,4.75,1
20,4.666666666666664,1
20,4.666666666666664,1
20,4.666666666666664,1
20,4.666666666666664,1
20,4.450000000000003,1
22,3.950000000000003,1
20,3.6666666666666643,1
20,3.3333333333333357,1
20,3.1666666666666643,1
20,3.0833333333333357,1
22,2.9833333333333343,1
22,2.9833333333333343,1
22,2.9833333333333343,1
22,2.9833333333333343,1
22,2.4166666666666643,1
20,2.25,1
20,2.0,1
20,1.8166666666666629,1
20,1.4833333333333343,1
19,1.4833333333333343,1
21,1.25,1
23,0.8033333333333346,1
23,0.653333333333336,1
23,0.45333333333333314,1
22,0.278333333333336,1
22,0.0,1
0,48.0,0
0,47.53333333333333,0
0,47.05,0
3,46.71666666666667,0
3,46.55,0
1,46.03333333333333,0
-1,45.56666666666666,0
-3,44.85,0
-1,44.71666666666667,0
-3,44.11666666666667,0
-5,44.05,0
-5,43.583333333333336,0
-6,43.55,0
-3,42.95,0
-4,42.95,0
-6,42.7,0
-6,42.483333333333334,0
-4,42.03333333333333,0
-5,42.03333333333333,0
-5,42.03333333333333,0
-5,42.03333333333333,0
-6,41.78333333333333,0
-6,41.56666666666666,0
-5,41.56666666666666,0
-7,41.083333333333336,0
-7,40.95,0
-9,40.81666666666666,0
-7,40.766666666666666,0
-7,40.766666666666666,0
-8,40.31666666666666,0
-8,40.0,0
-8,39.46666666666667,0
-10,39.266666666666666,0
-10,39.266666666666666,0
-10,39.266666666666666,0
-10,38.983333333333334,0
-10,38.93333333333334,0
-8,38.3,0
-6,38.016666666666666,0
-6,37.86666666666667,0
-4,37.5,0
-6,37.233333333333334,0
-6,37.1,0
-9,36.815,0
-9,36.681666666666665,0
-9,36.593333333333334,0
-9,36.373333333333335,0
-9,36.001666666666665,0
-9,36.0,0
-9,36.0,0
-9,35.71666666666667,0
-7,35.46666666666667,0
-7,35.1,0
-7,34.86666666666667,0
-4,34.36666666666667,0
-2,34.05,0
-2,34.016666666666666,0
-3,33.96666666666667,0
-4,33.96666666666667,0
-2,33.766666666666666,0
-1,33.516666666666666,0
-1,33.016666666666666,0
-1,32.666666666666664,0
2,32.56666666666666,0
2,32.56666666666666,0
2,32.233333333333334,0
2,32.016666666666666,0
2,32.016666666666666,0
2,32.016666666666666,0
-1,31.733333333333334,0
2,31.4,0
0,30.8,0
3,30.5,0
3,30.416666666666668,0
1,29.866666666666667,0
1,29.383333333333333,0
1,29.15,0
1,28.366666666666667,0
1,28.366666666666667,0
1,28.366666666666667,0
1,28.366666666666667,0
1,28.133333333333333,0
1,27.78333333333333,0
1,27.583333333333336,0
4,27.55,0
2,27.3,0
2,26.9,0
2,26.516666666666666,0
2,26.3,0
2,26.116666666666667,0
1,26.0,0
0,25.85,0
1,25.21666666666667,0
-1,24.816666666666666,0
-1,24.486666666666665,0
-2,24.211666666666666,0
0,24.15833333333333,0
0,24.0,0
0,24.0,0
0,24.0,0
0,23.783333333333335,0
-2,23.5,0
-4,23.266666666666666,0
-4,22.683333333333334,0
-1,22.1,0
-2,22.1,0
-3,21.7,0
-3,21.45,0
-4,21.25,0
-5,20.933333333333334,0
-4,20.383333333333333,0
-5,20.316666666666666,0
-6,20.316666666666666,0
-4,20.183333333333334,0
-2,19.933333333333334,0
-2,19.65,0
-2,19.566666666666666,0
-2,19.5,0
0,19.03333333333333,0
2,18.483333333333334,0
2,18.483333333333334,0
1,18.266666666666666,0
1,18.183333333333334,0
1,18.183333333333334,0
1,18.183333333333334,0
3,17.983333333333334,0
3,17.683333333333334,0
3,17.65,0
3,17.266666666666666,0
1,17.05,0
1,16.96666666666667,0
1,16.71666666666667,0
4,16.316666666666666,0
2,15.633333333333333,0
2,15.633333333333333,0
0,15.200000000000003,0
0,15.200000000000003,0
